ids_int	ids_str
0	IMG_ENC0001_0001_mi2_embedding
1	IMG_ENC0001_0002_mi2_embedding
2	IMG_ENC0001_0003_mi2_embedding
3	IMG_ENC0002_0001_mi2_embedding
4	IMG_ENC0002_0002_mi2_embedding
5	IMG_ENC0003_0001_mi2_embedding
6	IMG_ENC0004_0001_mi2_embedding
7	IMG_ENC0004_0002_mi2_embedding
8	IMG_ENC0005_0001_mi2_embedding
9	IMG_ENC0006_0001_mi2_embedding
10	IMG_ENC0007_0001_mi2_embedding
11	IMG_ENC0008_0001_mi2_embedding
12	IMG_ENC0009_0001_mi2_embedding
13	IMG_ENC0010_0001_mi2_embedding
14	IMG_ENC0011_0001_mi2_embedding
15	IMG_ENC0012_0001_mi2_embedding
16	IMG_ENC0013_0001_mi2_embedding
17	IMG_ENC0014_0001_mi2_embedding
18	IMG_ENC0015_0001_mi2_embedding
19	IMG_ENC0016_0001_mi2_embedding
20	IMG_ENC0016_0002_mi2_embedding
21	IMG_ENC0016_0003_mi2_embedding
22	IMG_ENC0017_0001_mi2_embedding
23	IMG_ENC0017_0002_mi2_embedding
24	IMG_ENC0018_0001_mi2_embedding
25	IMG_ENC0019_0001_mi2_embedding
26	IMG_ENC0020_0001_mi2_embedding
27	IMG_ENC0020_0002_mi2_embedding
28	IMG_ENC0021_0001_mi2_embedding
29	IMG_ENC0022_0001_mi2_embedding
30	IMG_ENC0022_0002_mi2_embedding
31	IMG_ENC0022_0003_mi2_embedding
32	IMG_ENC0023_0001_mi2_embedding
33	IMG_ENC0024_0001_mi2_embedding
34	IMG_ENC0025_0001_mi2_embedding
35	IMG_ENC0026_0001_mi2_embedding
36	IMG_ENC0027_0001_mi2_embedding
37	IMG_ENC0028_0001_mi2_embedding
38	IMG_ENC0029_0001_mi2_embedding
39	IMG_ENC0029_0002_mi2_embedding
40	IMG_ENC0030_0001_mi2_embedding
41	IMG_ENC0031_0001_mi2_embedding
42	IMG_ENC0032_0001_mi2_embedding
43	IMG_ENC0033_0001_mi2_embedding
44	IMG_ENC0034_0001_mi2_embedding
45	IMG_ENC0034_0002_mi2_embedding
46	IMG_ENC0035_0001_mi2_embedding
47	IMG_ENC0035_0002_mi2_embedding
48	IMG_ENC0035_0003_mi2_embedding
49	IMG_ENC0036_0001_mi2_embedding
50	IMG_ENC0036_0002_mi2_embedding
